_frequency,_networth,_points
.028375009,19916.59,1.9219743
.023229165,19916.59,2.0588284
.020747025,19916.59,1.5913858
.015186915,19916.59,1.7238165
.01496128,19916.59,2.5719378
.012463108,19916.59,1.8945355
.011645118,19916.59,2.3418
.025497457,18204.334,3.5421371
.028499125,18204.334,3.0280142
.025059924,18204.334,2.3020973
.018681204,18204.334,2.3684807
.018657403,18204.334,2.6997163
.016879516,18204.334,1.5895298
.012467138,18204.334,3.7199674
.024006426,32182.615,4.0248203
.028329184,32182.615,4.6271601
.02456478,32182.615,3.9752395
.026265936,32182.615,4.0037746
.022668049,32182.615,2.9402163
.01344517,32182.615,3.6989956
.012012584,32182.615,3.541039
.01935038,13447.539,5.817863
.024434861,13447.539,5.5853872
.024815494,13447.539,5.6532536
.025924778,13447.539,5.1455245
.02237924,13447.539,5.2029142
.019789547,13447.539,5.0414367
.016111229,13447.539,4.9294829
.014864271,26176.984,6.6274157
.017214313,26176.984,6.6232228
.025054233,26176.984,6.8467107
.028083552,26176.984,6.5565934
.021937335,26176.984,6.4973531
.024231695,26176.984,7.2165813
.01983963,26176.984,7.5004148
.013784922,23114.395,8.0841322
.012990984,23114.395,7.8364406
.01660471,23114.395,9.0547123
.020444898,23114.395,8.4550238
.02668778,23114.395,8.3950634
.028994761,23114.395,8.4645557
.026385171,23114.395,8.2028399
.010688996,33436.82,8.0963488
.0092806285,33436.82,10.408939
.0092852544,33436.82,10.587177
.012097048,33436.82,9.4493265
.018844046,33436.82,9.0432806
.028285084,33436.82,10.71734
.037953634,33436.82,12.702506
